cf_id,contact_id,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,category_id,subcategory_id
147,4661,Pre-emptive tertiary standardization,100,0,failed,0,CA,CAD,2020-02-13,2021-03-01,cat1,subcat1
1621,3765,Managed bottom-line architecture,1400,14560,successful,158,US,USD,2021-01-25,2021-05-25,cat2,subcat2
1812,4187,Function-based leadingedge pricing structure,108400,142523,successful,1425,AU,AUD,2020-12-17,2021-12-30,cat3,subcat3
2156,4941,Vision-oriented fresh-thinking conglomeration,4200,2477,failed,24,US,USD,2021-10-21,2022-01-17,cat2,subcat2
1365,2199,Proactive foreground core,7600,5265,failed,53,US,USD,2020-12-21,2021-08-23,cat4,subcat4
2057,5650,Open-source optimizing database,7600,13195,successful,174,DK,DKK,2020-12-11,2021-08-29,cat4,subcat4
1894,5889,Operative upward-trending algorithm,5200,1090,failed,18,GB,GBP,2020-07-31,2021-05-11,cat5,subcat5
2669,4842,Centralized cohesive challenge,4500,14741,successful,227,DK,DKK,2020-12-22,2021-09-21,cat4,subcat4
1114,3280,Exclusive attitude-oriented intranet,110100,21946,live,708,DK,DKK,2020-04-08,2021-03-10,cat4,subcat4
970,5468,Open-source fresh-thinking model,6200,3208,failed,44,US,USD,2021-08-13,2021-08-31,cat2,subcat6
2340,3064,Monitored empowering installation,5200,13838,successful,220,US,USD,2020-07-11,2021-08-02,cat5,subcat7
601,4904,Grass-roots zero administration system engine,6300,3030,failed,27,US,USD,2020-08-11,2021-06-26,cat4,subcat4
1950,1299,Assimilated hybrid intranet,6300,5629,failed,55,US,USD,2020-11-14,2021-04-09,cat5,subcat7
671,5602,Multi-tiered directional open architecture,4200,10295,successful,98,US,USD,2020-11-11,2021-11-06,cat2,subcat8
1683,5753,Cloned directional synergy,28200,18829,failed,200,US,USD,2021-11-14,2022-01-02,cat2,subcat8
505,4495,Extended eco-centric pricing structure,81200,38414,failed,452,US,USD,2021-10-25,2021-12-16,cat3,subcat9
1245,4269,Cross-platform systemic adapter,1700,11041,successful,100,US,USD,2021-08-20,2021-12-22,cat6,subcat10
2550,2226,Seamless 4thgeneration methodology,84600,134845,successful,1249,US,USD,2020-04-12,2021-03-24,cat5,subcat11
875,1558,Exclusive needs-based adapter,9100,6089,canceled,135,US,USD,2021-03-24,2022-01-27,cat4,subcat4
2283,2307,Down-sized cohesive archive,62500,30331,failed,674,US,USD,2021-10-12,2021-11-17,cat4,subcat4
118,2900,Proactive composite alliance,131800,147936,successful,1396,US,USD,2020-04-12,2021-04-09,cat5,subcat7
711,5695,Re-engineered intangible definition,94000,38533,failed,558,US,USD,2021-03-14,2021-04-29,cat4,subcat4
1747,5708,Enhanced dynamic definition,59100,75690,successful,890,US,USD,2020-07-06,2021-08-04,cat4,subcat4
1825,1663,Devolved next generation adapter,4500,14942,successful,142,GB,GBP,2021-07-23,2021-09-12,cat5,subcat5
1019,3605,Cross-platform intermediate frame,92400,104257,successful,2673,US,USD,2021-05-01,2021-10-01,cat3,subcat9
821,4678,Monitored impactful analyzer,5500,11904,successful,163,US,USD,2020-10-09,2021-05-23,cat7,subcat12
